categoria_principal;subcategoria;activa
Piso Málaga;Ingreso alquiler residencial;Sí
Piso Málaga;Ingreso Airbnb;Sí
Piso Málaga;Ingreso Booking;Sí
Piso Málaga;Ingreso alquiler turístico - directo/otro;Sí
Piso Málaga;Comunidad;Sí
Piso Málaga;Electricidad;Sí
Piso Málaga;Gas y butano;Sí
Piso Málaga;Limpieza;Sí
Piso Málaga;Mantenimiento y reparaciones;Sí
Piso Málaga;Seguros;Sí
Piso Málaga;Impuestos y tasas;Sí
Piso Málaga;Reembolsos e indemnizaciones;Sí
Piso Málaga;Mobiliario y equipamiento;Sí
Piso Málaga;Otros ingresos/gastos;Sí
Vivienda personal;Alquiler Madrid;Sí
Vivienda personal;Depósitos y reservas;Sí
Vivienda personal;Suministros;Sí
Vivienda personal;Alojamiento temporal;Sí
Vivienda personal;Otros;Sí
Comida;Supermercado;Sí
Comida;Comer fuera;Sí
Transporte;Avión;Sí
Transporte;Tren;Sí
Transporte;Bus y metro;Sí
Transporte;Taxi y VTC;Sí
Transporte;Coche;Sí
Transporte;Parking y peajes;Sí
Transporte;Barco;Sí
Transporte;Otros;Sí
Ocio;Deporte;Sí
Ocio;Cultura y eventos;Sí
Ocio;Vida nocturna;Sí
Ocio;Excursiones y experiencias;Sí
Ocio;Apuestas;Sí
Ocio;Otros;Sí
Compras;Ropa y accesorios;Sí
Compras;Tecnología;Sí
Compras;Regalos;Sí
Compras;Libros y papelería;Sí
Compras;Hogar y jardín;Sí
Compras;Otros;Sí
Suscripciones;IA y software;Sí
Suscripciones;Almacenamiento y servicios digitales;Sí
Suscripciones;Medios y asociaciones;Sí
Suscripciones;Otros;Sí
Salud;Medicamentos;Sí
Salud;Médico y tratamientos;Sí
Salud;Vacunas;Sí
Salud;Seguro médico;Sí
Salud;Seguro de viaje;Sí
Salud;Cuidado personal;Sí
Salud;Otros;Sí
Educación;Matrícula y tasas;Sí
Educación;Cursos y certificaciones;Sí
Educación;Exámenes e idiomas;Sí
Educación;Solicitudes de máster;Sí
Educación;Materiales;Sí
Educación;Otros;Sí
Tasas y obligaciones;Impuestos personales;Sí
Tasas y obligaciones;Multas;Sí
Tasas y obligaciones;Visados y documentación;Sí
Tasas y obligaciones;Otros;Sí
Ingresos;Trabajo;Sí
Ingresos;Becas y ayudas;Sí
Ingresos;Reembolsos;Sí
Ingresos;Venta de artículos;Sí
Ingresos;Voluntariado y colaboraciones;Sí
Ingresos;Transporte compartido;Sí
Ingresos;Inversiones;Sí
Ingresos;Otros;Sí
Otros;Otros;Sí
