id_origen;fila_original;fecha;nombre;importe_eur;tipo;categoria_principal;subcategoria;contexto;plataforma;viaje_proyecto;recurrente;fiscal_piso_malaga;categoria_original;nota_migracion
mov-000001;2;2026-05-15;Nuddles;-7.12;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000002;3;2026-07-14;Seguro reembolso;442.96;Ingreso;Piso Málaga;Reembolsos e indemnizaciones;Piso Málaga;;;No;Indemnización vinculada al inmueble;Utilities;Compensación por daños de agua en el marco de una puerta
mov-000003;4;2026-07-14;Gpt;-22.99;Gasto;Suscripciones;IA y software;Personal;;;Sí;No aplica;Suscripciones;
mov-000004;5;2026-07-14;Cine;-12.00;Gasto;Ocio;Cultura y eventos;Personal;;;No;No aplica;Actividades;
mov-000005;6;2026-07-14;Comida plaz;-22.19;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000006;7;2026-06-06;Excursion barco;-39.71;Gasto;Ocio;Excursiones y experiencias;Personal;;;No;No aplica;Actividades;
mov-000007;8;2026-06-14;Gastos tailandia;-200.00;Gasto;Comida;Comer fuera;Personal;;Tailandia 2026;No;No aplica;Comida;
mov-000008;9;2026-06-14;Chatgpt;-22.99;Gasto;Suscripciones;IA y software;Personal;;;Sí;No aplica;Suscripciones;
mov-000009;10;2026-06-14;Pan;-0.50;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-000010;11;2026-06-14;Pickeball;-5.00;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-000011;12;2026-06-06;Excursion chiang mai;-42.33;Gasto;Ocio;Excursiones y experiencias;Personal;;;No;No aplica;Actividades;
mov-000012;13;2026-06-18;Uber;-9.00;Gasto;Transporte;Taxi y VTC;Personal;;;No;No aplica;Transporte;
mov-000013;14;2026-06-19;Pizza;-6.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000014;15;2026-06-21;Revivir empanada;-2.10;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000015;16;2026-06-21;Salmon;-4.00;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-000016;17;2026-06-22;Vuelo canarias;-107.86;Gasto;Transporte;Avión;Personal;;;No;No aplica;Transporte;
mov-000017;18;2026-06-23;Cabi;-16.44;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000018;19;2026-06-25;Aire acondicionado;-1389.00;Gasto;Piso Málaga;Mantenimiento y reparaciones;Piso Málaga;;;No;Posible inmovilizado/mejora - revisar;Utilities;No amortizar automáticamente: confirmar tratamiento fiscal y vida útil.
mov-000019;20;2026-06-26;Sushi;-49.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000020;21;2026-06-28;Bbq;-16.84;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000021;22;2026-06-29;Renta;-1749.03;Gasto;Tasas y obligaciones;Impuestos personales;Personal;;;No;No aplica;Utilities;IRPF personal. No imputar automáticamente como gasto deducible del piso.
mov-000023;24;2026-07-01;Llaves;-68.53;Gasto;Piso Málaga;Mantenimiento y reparaciones;Piso Málaga;;;No;Gasto del inmueble - revisar deducibilidad;Shopping;
mov-000025;26;2026-07-01;Piso;-710.00;Gasto;Vivienda personal;Alquiler Madrid;Vivienda personal;;;Sí;No aplica;Alquiler;
mov-000026;27;2026-07-01;Comunidad;-70.80;Gasto;Piso Málaga;Comunidad;Piso Málaga;;;Sí;Gasto del inmueble - revisar deducibilidad;Utilities;
mov-000027;28;2026-07-02;Butano;-23.35;Gasto;Piso Málaga;Gas y butano;Piso Málaga;;;Sí;Gasto del inmueble - revisar deducibilidad;Utilities;
mov-000028;29;2026-07-03;Pizza;-4.70;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000029;30;2026-07-04;Bk;-13.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000030;31;2026-07-05;Tapas;-13.60;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000031;32;2026-07-06;Icloud;-9.99;Gasto;Suscripciones;Almacenamiento y servicios digitales;Personal;;;Sí;No aplica;Suscripciones;
mov-000032;33;2026-07-06;Chatgpt;-19.55;Gasto;Suscripciones;IA y software;Personal;;;Sí;No aplica;Suscripciones;
mov-000033;34;2026-07-06;Bk;-7.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000034;35;2026-07-08;Sushi;-21.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000035;36;2026-07-08;Claude;-18.00;Gasto;Suscripciones;IA y software;Personal;;;Sí;No aplica;Suscripciones;
mov-000036;37;2026-07-09;Airbnb;272.46;Ingreso;Piso Málaga;Ingreso alquiler;Piso Málaga;Airbnb;;No;Ingreso del inmueble;Alquiler;Importe bancario neto. No reconstruir el desglose histórico sin los datos de la reserva.
mov-000037;38;2026-07-10;Pollo;-9.50;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-000038;39;2026-07-11;Pizza;-2.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000039;40;2026-07-11;Productos de limpieza;-72.85;Gasto;Piso Málaga;Limpieza;Piso Málaga;;;No;Gasto del inmueble - revisar deducibilidad;Shopping;
mov-000040;41;2026-07-13;Cerradura;-720.00;Gasto;Piso Málaga;Mantenimiento y reparaciones;Piso Málaga;;;No;Posible inmovilizado/mejora - revisar;Utilities;No amortizar automáticamente: confirmar tratamiento fiscal y vida útil.
mov-000041;42;2026-07-13;Booking;132.84;Ingreso;Piso Málaga;Ingreso alquiler;Piso Málaga;Booking;;No;Ingreso del inmueble;Alquiler;Importe bancario neto. No reconstruir el desglose histórico sin los datos de la reserva.
mov-000042;43;2026-06-19;Recarga alcohol festival;-21.50;Gasto;Ocio;Vida nocturna;Personal;;;No;No aplica;Comida;
mov-000043;44;2026-06-07;Ferry;-16.46;Gasto;Transporte;Barco;Personal;;;No;No aplica;Transporte;
mov-000044;45;2026-06-07;Coche;-8.77;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
mov-000045;46;2026-06-09;Sueldo accenture;140.23;Ingreso;Ingresos;Trabajo;Personal;;;Sí;No aplica;Sueldo;
mov-000046;47;2026-06-12;Metro;-10.00;Gasto;Transporte;Bus y metro;Personal;;;No;No aplica;Transporte;
mov-000047;48;2026-06-12;Compra;-16.88;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-000048;49;2026-06-12;Tren;-22.00;Gasto;Transporte;Tren;Personal;;;No;No aplica;Transporte;
mov-000049;50;2026-06-14;Uber;-11.00;Gasto;Transporte;Taxi y VTC;Personal;;;No;No aplica;Transporte;
mov-000050;51;2026-06-14;Come y bebe;-13.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000051;52;2026-06-14;Cerveza;-4.05;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000052;53;2026-05-15;Alojamiento Tailandia;-46.00;Gasto;Vivienda personal;Alojamiento temporal;Vivienda personal;;Tailandia 2026;No;No aplica;Actividades;
mov-000053;54;2026-05-15;Excursiones Tailandia;-80.00;Gasto;Ocio;Excursiones y experiencias;Personal;;;No;No aplica;Actividades;
mov-000054;55;2026-05-15;Comia;-16.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000055;56;2026-05-17;Padel;-5.50;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-000056;57;2026-05-19;Uber;-6.60;Gasto;Transporte;Taxi y VTC;Personal;;;No;No aplica;Transporte;
mov-000057;58;2026-05-14;Gpt;-22.30;Gasto;Suscripciones;IA y software;Personal;;;Sí;No aplica;Suscripciones;
mov-000058;59;2026-05-19;Bus;-4.60;Gasto;Transporte;Bus y metro;Personal;;;No;No aplica;Transporte;
mov-000059;60;2026-05-19;Compra;-11.08;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-000060;61;2026-05-19;Padel;-2.90;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-000061;62;2026-05-19;Sushi;-5.20;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000062;63;2026-05-20;100m;-4.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000063;64;2026-05-20;Padel;-4.10;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
